,patient_id,tissue_class,attention_group,count
136,TCGA-AR-A1AX-01Z,Adipose,High,38
137,TCGA-AR-A1AX-01Z,Adipose,Low,67
138,TCGA-AR-A1AX-01Z,Adipose,Medium,81
139,TCGA-AR-A1AX-01Z,Epithelial,High,291
140,TCGA-AR-A1AX-01Z,Epithelial,Low,563
141,TCGA-AR-A1AX-01Z,Epithelial,Medium,366
142,TCGA-AR-A1AX-01Z,Lymphocytes,High,248
143,TCGA-AR-A1AX-01Z,Lymphocytes,Low,125
144,TCGA-AR-A1AX-01Z,Lymphocytes,Medium,208
145,TCGA-AR-A1AX-01Z,Miscelleneous,High,1
146,TCGA-AR-A1AX-01Z,Miscelleneous,Low,16
147,TCGA-AR-A1AX-01Z,Miscelleneous,Medium,2
148,TCGA-AR-A1AX-01Z,Stroma,High,159
149,TCGA-AR-A1AX-01Z,Stroma,Low,67
150,TCGA-AR-A1AX-01Z,Stroma,Medium,101
151,TCGA-AR-A24L-01Z,Adipose,High,69
152,TCGA-AR-A24L-01Z,Adipose,Low,78
153,TCGA-AR-A24L-01Z,Adipose,Medium,124
154,TCGA-AR-A24L-01Z,Epithelial,High,539
155,TCGA-AR-A24L-01Z,Epithelial,Low,696
156,TCGA-AR-A24L-01Z,Epithelial,Medium,578
157,TCGA-AR-A24L-01Z,Lymphocytes,High,12
158,TCGA-AR-A24L-01Z,Lymphocytes,Low,9
159,TCGA-AR-A24L-01Z,Lymphocytes,Medium,9
160,TCGA-AR-A24L-01Z,Miscelleneous,High,3
161,TCGA-AR-A24L-01Z,Miscelleneous,Low,2
162,TCGA-AR-A24L-01Z,Miscelleneous,Medium,3
163,TCGA-AR-A24L-01Z,Stroma,High,150
164,TCGA-AR-A24L-01Z,Stroma,Low,32
165,TCGA-AR-A24L-01Z,Stroma,Medium,94
166,TCGA-AR-A24M-01Z,Adipose,High,118
167,TCGA-AR-A24M-01Z,Adipose,Low,79
168,TCGA-AR-A24M-01Z,Adipose,Medium,197
169,TCGA-AR-A24M-01Z,Epithelial,High,782
170,TCGA-AR-A24M-01Z,Epithelial,Low,1323
171,TCGA-AR-A24M-01Z,Epithelial,Medium,911
172,TCGA-AR-A24M-01Z,Lymphocytes,High,61
173,TCGA-AR-A24M-01Z,Lymphocytes,Low,3
174,TCGA-AR-A24M-01Z,Lymphocytes,Medium,17
175,TCGA-AR-A24M-01Z,Miscelleneous,High,13
176,TCGA-AR-A24M-01Z,Miscelleneous,Low,9
177,TCGA-AR-A24M-01Z,Miscelleneous,Medium,26
178,TCGA-AR-A24M-01Z,Stroma,High,323
179,TCGA-AR-A24M-01Z,Stroma,Low,54
180,TCGA-AR-A24M-01Z,Stroma,Medium,233
181,TCGA-AR-A24Q-01Z,Adipose,High,11
182,TCGA-AR-A24Q-01Z,Adipose,Low,3
183,TCGA-AR-A24Q-01Z,Adipose,Medium,13
184,TCGA-AR-A24Q-01Z,Epithelial,High,733
185,TCGA-AR-A24Q-01Z,Epithelial,Low,1326
186,TCGA-AR-A24Q-01Z,Epithelial,Medium,884
187,TCGA-AR-A24Q-01Z,Lymphocytes,High,372
188,TCGA-AR-A24Q-01Z,Lymphocytes,Low,618
189,TCGA-AR-A24Q-01Z,Lymphocytes,Medium,653
190,TCGA-AR-A24Q-01Z,Miscelleneous,High,352
191,TCGA-AR-A24Q-01Z,Miscelleneous,Low,125
192,TCGA-AR-A24Q-01Z,Miscelleneous,Medium,376
193,TCGA-AR-A24Q-01Z,Stroma,High,513
194,TCGA-AR-A24Q-01Z,Stroma,Low,47
195,TCGA-AR-A24Q-01Z,Stroma,Medium,146
196,TCGA-AR-A24U-01Z,Adipose,High,55
197,TCGA-AR-A24U-01Z,Adipose,Low,228
198,TCGA-AR-A24U-01Z,Adipose,Medium,131
199,TCGA-AR-A24U-01Z,Epithelial,High,420
200,TCGA-AR-A24U-01Z,Epithelial,Low,329
201,TCGA-AR-A24U-01Z,Epithelial,Medium,382
202,TCGA-AR-A24U-01Z,Lymphocytes,High,98
203,TCGA-AR-A24U-01Z,Lymphocytes,Low,60
204,TCGA-AR-A24U-01Z,Lymphocytes,Medium,86
205,TCGA-AR-A24U-01Z,Miscelleneous,High,21
206,TCGA-AR-A24U-01Z,Miscelleneous,Low,24
207,TCGA-AR-A24U-01Z,Miscelleneous,Medium,26
208,TCGA-AR-A24U-01Z,Stroma,High,228
209,TCGA-AR-A24U-01Z,Stroma,Low,175
210,TCGA-AR-A24U-01Z,Stroma,Medium,188
211,TCGA-AR-A5QQ-01Z,Adipose,High,37
212,TCGA-AR-A5QQ-01Z,Adipose,Low,23
213,TCGA-AR-A5QQ-01Z,Adipose,Medium,45
214,TCGA-AR-A5QQ-01Z,Epithelial,High,1154
215,TCGA-AR-A5QQ-01Z,Epithelial,Low,937
216,TCGA-AR-A5QQ-01Z,Epithelial,Medium,1080
217,TCGA-AR-A5QQ-01Z,Lymphocytes,High,12
218,TCGA-AR-A5QQ-01Z,Lymphocytes,Low,191
219,TCGA-AR-A5QQ-01Z,Lymphocytes,Medium,40
220,TCGA-AR-A5QQ-01Z,Miscelleneous,High,438
221,TCGA-AR-A5QQ-01Z,Miscelleneous,Low,473
222,TCGA-AR-A5QQ-01Z,Miscelleneous,Medium,461
223,TCGA-AR-A5QQ-01Z,Stroma,High,270
224,TCGA-AR-A5QQ-01Z,Stroma,Low,252
225,TCGA-AR-A5QQ-01Z,Stroma,Medium,280
226,TCGA-B6-A0I6-01Z,Adipose,High,205
227,TCGA-B6-A0I6-01Z,Adipose,Low,67
228,TCGA-B6-A0I6-01Z,Adipose,Medium,216
229,TCGA-B6-A0I6-01Z,Epithelial,High,800
230,TCGA-B6-A0I6-01Z,Epithelial,Low,1441
231,TCGA-B6-A0I6-01Z,Epithelial,Medium,1063
232,TCGA-B6-A0I6-01Z,Lymphocytes,High,49
233,TCGA-B6-A0I6-01Z,Lymphocytes,Low,34
234,TCGA-B6-A0I6-01Z,Lymphocytes,Medium,40
235,TCGA-B6-A0I6-01Z,Miscelleneous,High,114
236,TCGA-B6-A0I6-01Z,Miscelleneous,Low,95
237,TCGA-B6-A0I6-01Z,Miscelleneous,Medium,80
238,TCGA-B6-A0I6-01Z,Stroma,High,479
239,TCGA-B6-A0I6-01Z,Stroma,Low,99
240,TCGA-B6-A0I6-01Z,Stroma,Medium,367
241,TCGA-B6-A0RV-01Z,Adipose,High,158
242,TCGA-B6-A0RV-01Z,Adipose,Low,195
243,TCGA-B6-A0RV-01Z,Adipose,Medium,210
244,TCGA-B6-A0RV-01Z,Epithelial,High,1168
245,TCGA-B6-A0RV-01Z,Epithelial,Low,1568
246,TCGA-B6-A0RV-01Z,Epithelial,Medium,1329
247,TCGA-B6-A0RV-01Z,Lymphocytes,High,29
248,TCGA-B6-A0RV-01Z,Lymphocytes,Low,29
249,TCGA-B6-A0RV-01Z,Lymphocytes,Medium,31
250,TCGA-B6-A0RV-01Z,Miscelleneous,High,126
251,TCGA-B6-A0RV-01Z,Miscelleneous,Low,94
252,TCGA-B6-A0RV-01Z,Miscelleneous,Medium,64
253,TCGA-B6-A0RV-01Z,Stroma,High,838
254,TCGA-B6-A0RV-01Z,Stroma,Low,569
255,TCGA-B6-A0RV-01Z,Stroma,Medium,800
256,TCGA-B6-A1KI-01Z,Adipose,High,82
257,TCGA-B6-A1KI-01Z,Adipose,Low,225
258,TCGA-B6-A1KI-01Z,Adipose,Medium,165
259,TCGA-B6-A1KI-01Z,Epithelial,High,209
260,TCGA-B6-A1KI-01Z,Epithelial,Low,180
261,TCGA-B6-A1KI-01Z,Epithelial,Medium,214
262,TCGA-B6-A1KI-01Z,Lymphocytes,High,15
263,TCGA-B6-A1KI-01Z,Lymphocytes,Low,1
264,TCGA-B6-A1KI-01Z,Lymphocytes,Medium,1
265,TCGA-B6-A1KI-01Z,Miscelleneous,High,84
266,TCGA-B6-A1KI-01Z,Miscelleneous,Low,39
267,TCGA-B6-A1KI-01Z,Miscelleneous,Medium,48
268,TCGA-B6-A1KI-01Z,Stroma,High,41
269,TCGA-B6-A1KI-01Z,Stroma,Low,23
270,TCGA-B6-A1KI-01Z,Stroma,Medium,56
271,TCGA-BH-A0B0-01Z,Adipose,High,89
272,TCGA-BH-A0B0-01Z,Adipose,Low,277
273,TCGA-BH-A0B0-01Z,Adipose,Medium,134
274,TCGA-BH-A0B0-01Z,Epithelial,High,111
275,TCGA-BH-A0B0-01Z,Epithelial,Low,232
276,TCGA-BH-A0B0-01Z,Epithelial,Medium,164
277,TCGA-BH-A0B0-01Z,Lymphocytes,High,1
278,TCGA-BH-A0B0-01Z,Lymphocytes,Low,4
279,TCGA-BH-A0B0-01Z,Lymphocytes,Medium,12
280,TCGA-BH-A0B0-01Z,Miscelleneous,High,13
281,TCGA-BH-A0B0-01Z,Miscelleneous,Low,51
282,TCGA-BH-A0B0-01Z,Miscelleneous,Medium,34
283,TCGA-BH-A0B0-01Z,Stroma,High,806
284,TCGA-BH-A0B0-01Z,Stroma,Low,382
285,TCGA-BH-A0B0-01Z,Stroma,Medium,627
286,TCGA-BH-A0BT-01Z,Adipose,High,66
287,TCGA-BH-A0BT-01Z,Adipose,Low,17
288,TCGA-BH-A0BT-01Z,Adipose,Medium,39
289,TCGA-BH-A0BT-01Z,Epithelial,High,882
290,TCGA-BH-A0BT-01Z,Epithelial,Low,940
291,TCGA-BH-A0BT-01Z,Epithelial,Medium,922
292,TCGA-BH-A0BT-01Z,Miscelleneous,High,38
293,TCGA-BH-A0BT-01Z,Miscelleneous,Low,59
294,TCGA-BH-A0BT-01Z,Miscelleneous,Medium,49
295,TCGA-BH-A0BT-01Z,Stroma,High,189
296,TCGA-BH-A0BT-01Z,Stroma,Low,210
297,TCGA-BH-A0BT-01Z,Stroma,Medium,193
298,TCGA-BH-A0BW-01Z,Adipose,High,282
299,TCGA-BH-A0BW-01Z,Adipose,Low,388
300,TCGA-BH-A0BW-01Z,Adipose,Medium,363
301,TCGA-BH-A0BW-01Z,Epithelial,High,466
302,TCGA-BH-A0BW-01Z,Epithelial,Low,556
303,TCGA-BH-A0BW-01Z,Epithelial,Medium,499
304,TCGA-BH-A0BW-01Z,Lymphocytes,High,43
305,TCGA-BH-A0BW-01Z,Lymphocytes,Low,3
306,TCGA-BH-A0BW-01Z,Lymphocytes,Medium,21
307,TCGA-BH-A0BW-01Z,Miscelleneous,High,37
308,TCGA-BH-A0BW-01Z,Miscelleneous,Low,64
309,TCGA-BH-A0BW-01Z,Miscelleneous,Medium,41
310,TCGA-BH-A0BW-01Z,Stroma,High,592
311,TCGA-BH-A0BW-01Z,Stroma,Low,442
312,TCGA-BH-A0BW-01Z,Stroma,Medium,585
313,TCGA-BH-A0C3-01Z,Adipose,High,182
314,TCGA-BH-A0C3-01Z,Adipose,Low,43
315,TCGA-BH-A0C3-01Z,Adipose,Medium,142
316,TCGA-BH-A0C3-01Z,Epithelial,High,166
317,TCGA-BH-A0C3-01Z,Epithelial,Low,738
318,TCGA-BH-A0C3-01Z,Epithelial,Medium,451
319,TCGA-BH-A0C3-01Z,Lymphocytes,High,1
320,TCGA-BH-A0C3-01Z,Lymphocytes,Low,9
321,TCGA-BH-A0C3-01Z,Lymphocytes,Medium,4
322,TCGA-BH-A0C3-01Z,Miscelleneous,High,28
323,TCGA-BH-A0C3-01Z,Miscelleneous,Low,3
324,TCGA-BH-A0C3-01Z,Miscelleneous,Medium,6
325,TCGA-BH-A0C3-01Z,Stroma,High,411
326,TCGA-BH-A0C3-01Z,Stroma,Low,98
327,TCGA-BH-A0C3-01Z,Stroma,Medium,241
328,TCGA-BH-A0DG-01Z,Adipose,High,125
329,TCGA-BH-A0DG-01Z,Adipose,Low,57
330,TCGA-BH-A0DG-01Z,Adipose,Medium,155
331,TCGA-BH-A0DG-01Z,Epithelial,High,563
332,TCGA-BH-A0DG-01Z,Epithelial,Low,1604
333,TCGA-BH-A0DG-01Z,Epithelial,Medium,945
334,TCGA-BH-A0DG-01Z,Lymphocytes,High,10
335,TCGA-BH-A0DG-01Z,Lymphocytes,Low,1
336,TCGA-BH-A0DG-01Z,Lymphocytes,Medium,8
337,TCGA-BH-A0DG-01Z,Miscelleneous,High,73
338,TCGA-BH-A0DG-01Z,Miscelleneous,Low,5
339,TCGA-BH-A0DG-01Z,Miscelleneous,Medium,24
340,TCGA-BH-A0DG-01Z,Stroma,High,807
341,TCGA-BH-A0DG-01Z,Stroma,Low,130
342,TCGA-BH-A0DG-01Z,Stroma,Medium,572
343,TCGA-BH-A18V-01Z,Adipose,High,186
344,TCGA-BH-A18V-01Z,Adipose,Low,16
345,TCGA-BH-A18V-01Z,Adipose,Medium,139
346,TCGA-BH-A18V-01Z,Epithelial,High,497
347,TCGA-BH-A18V-01Z,Epithelial,Low,1126
348,TCGA-BH-A18V-01Z,Epithelial,Medium,737
349,TCGA-BH-A18V-01Z,Lymphocytes,High,91
350,TCGA-BH-A18V-01Z,Lymphocytes,Low,45
351,TCGA-BH-A18V-01Z,Lymphocytes,Medium,162
352,TCGA-BH-A18V-01Z,Miscelleneous,High,31
353,TCGA-BH-A18V-01Z,Miscelleneous,Low,12
354,TCGA-BH-A18V-01Z,Miscelleneous,Medium,22
355,TCGA-BH-A18V-01Z,Stroma,High,307
356,TCGA-BH-A18V-01Z,Stroma,Low,12
357,TCGA-BH-A18V-01Z,Stroma,Medium,111
358,TCGA-BH-A1F0-01Z,Adipose,High,97
359,TCGA-BH-A1F0-01Z,Adipose,Low,8
360,TCGA-BH-A1F0-01Z,Adipose,Medium,11
361,TCGA-BH-A1F0-01Z,Epithelial,High,321
362,TCGA-BH-A1F0-01Z,Epithelial,Low,495
363,TCGA-BH-A1F0-01Z,Epithelial,Medium,474
364,TCGA-BH-A1F0-01Z,Lymphocytes,High,11
365,TCGA-BH-A1F0-01Z,Lymphocytes,Low,2
366,TCGA-BH-A1F0-01Z,Lymphocytes,Medium,5
367,TCGA-BH-A1F0-01Z,Miscelleneous,High,4
368,TCGA-BH-A1F0-01Z,Miscelleneous,Low,1
369,TCGA-BH-A1F0-01Z,Stroma,High,20
370,TCGA-BH-A1F0-01Z,Stroma,Low,1
371,TCGA-BH-A1FJ-01Z,Adipose,High,153
372,TCGA-BH-A1FJ-01Z,Adipose,Low,300
373,TCGA-BH-A1FJ-01Z,Adipose,Medium,221
374,TCGA-BH-A1FJ-01Z,Epithelial,High,726
375,TCGA-BH-A1FJ-01Z,Epithelial,Low,1547
376,TCGA-BH-A1FJ-01Z,Epithelial,Medium,1071
377,TCGA-BH-A1FJ-01Z,Lymphocytes,High,104
378,TCGA-BH-A1FJ-01Z,Lymphocytes,Low,17
379,TCGA-BH-A1FJ-01Z,Lymphocytes,Medium,64
380,TCGA-BH-A1FJ-01Z,Miscelleneous,High,136
381,TCGA-BH-A1FJ-01Z,Miscelleneous,Low,27
382,TCGA-BH-A1FJ-01Z,Miscelleneous,Medium,94
383,TCGA-BH-A1FJ-01Z,Stroma,High,903
384,TCGA-BH-A1FJ-01Z,Stroma,Low,267
385,TCGA-BH-A1FJ-01Z,Stroma,Medium,626
386,TCGA-BH-A1FN-01Z,Adipose,High,33
387,TCGA-BH-A1FN-01Z,Adipose,Low,2
388,TCGA-BH-A1FN-01Z,Adipose,Medium,15
389,TCGA-BH-A1FN-01Z,Epithelial,High,541
390,TCGA-BH-A1FN-01Z,Epithelial,Low,1071
391,TCGA-BH-A1FN-01Z,Epithelial,Medium,768
392,TCGA-BH-A1FN-01Z,Lymphocytes,High,15
393,TCGA-BH-A1FN-01Z,Lymphocytes,Low,1
394,TCGA-BH-A1FN-01Z,Lymphocytes,Medium,5
395,TCGA-BH-A1FN-01Z,Miscelleneous,High,78
396,TCGA-BH-A1FN-01Z,Miscelleneous,Low,96
397,TCGA-BH-A1FN-01Z,Miscelleneous,Medium,248
398,TCGA-BH-A1FN-01Z,Stroma,High,292
399,TCGA-BH-A1FN-01Z,Stroma,Low,13
400,TCGA-BH-A1FN-01Z,Stroma,Medium,72
401,TCGA-BH-A42T-01Z,Adipose,High,382
402,TCGA-BH-A42T-01Z,Adipose,Low,396
403,TCGA-BH-A42T-01Z,Adipose,Medium,402
404,TCGA-BH-A42T-01Z,Epithelial,High,142
405,TCGA-BH-A42T-01Z,Epithelial,Low,134
406,TCGA-BH-A42T-01Z,Epithelial,Medium,201
407,TCGA-BH-A42T-01Z,Lymphocytes,Medium,2
408,TCGA-BH-A42T-01Z,Miscelleneous,High,84
409,TCGA-BH-A42T-01Z,Miscelleneous,Low,50
410,TCGA-BH-A42T-01Z,Miscelleneous,Medium,45
411,TCGA-BH-A42T-01Z,Stroma,High,79
412,TCGA-BH-A42T-01Z,Stroma,Low,83
413,TCGA-BH-A42T-01Z,Stroma,Medium,74
414,TCGA-E2-A1IG-01Z,Adipose,High,227
415,TCGA-E2-A1IG-01Z,Adipose,Low,120
416,TCGA-E2-A1IG-01Z,Adipose,Medium,182
417,TCGA-E2-A1IG-01Z,Epithelial,High,577
418,TCGA-E2-A1IG-01Z,Epithelial,Low,1544
419,TCGA-E2-A1IG-01Z,Epithelial,Medium,1137
420,TCGA-E2-A1IG-01Z,Lymphocytes,High,1
421,TCGA-E2-A1IG-01Z,Lymphocytes,Low,4
422,TCGA-E2-A1IG-01Z,Lymphocytes,Medium,5
423,TCGA-E2-A1IG-01Z,Miscelleneous,High,2
424,TCGA-E2-A1IG-01Z,Miscelleneous,Low,5
425,TCGA-E2-A1IG-01Z,Miscelleneous,Medium,3
426,TCGA-E2-A1IG-01Z,Stroma,High,1233
427,TCGA-E2-A1IG-01Z,Stroma,Low,450
428,TCGA-E2-A1IG-01Z,Stroma,Medium,784
429,TCGA-GM-A2DC-01Z,Adipose,High,145
430,TCGA-GM-A2DC-01Z,Adipose,Low,176
431,TCGA-GM-A2DC-01Z,Adipose,Medium,202
432,TCGA-GM-A2DC-01Z,Epithelial,High,177
433,TCGA-GM-A2DC-01Z,Epithelial,Low,413
434,TCGA-GM-A2DC-01Z,Epithelial,Medium,254
435,TCGA-GM-A2DC-01Z,Lymphocytes,High,7
436,TCGA-GM-A2DC-01Z,Lymphocytes,Low,15
437,TCGA-GM-A2DC-01Z,Lymphocytes,Medium,14
438,TCGA-GM-A2DC-01Z,Miscelleneous,High,26
439,TCGA-GM-A2DC-01Z,Miscelleneous,Low,18
440,TCGA-GM-A2DC-01Z,Miscelleneous,Medium,19
441,TCGA-GM-A2DC-01Z,Stroma,High,455
442,TCGA-GM-A2DC-01Z,Stroma,Low,209
443,TCGA-GM-A2DC-01Z,Stroma,Medium,330
444,TCGA-GM-A2DF-01Z,Adipose,High,211
445,TCGA-GM-A2DF-01Z,Adipose,Low,336
446,TCGA-GM-A2DF-01Z,Adipose,Medium,245
447,TCGA-GM-A2DF-01Z,Epithelial,High,262
448,TCGA-GM-A2DF-01Z,Epithelial,Low,189
449,TCGA-GM-A2DF-01Z,Epithelial,Medium,262
450,TCGA-GM-A2DF-01Z,Lymphocytes,High,267
451,TCGA-GM-A2DF-01Z,Lymphocytes,Low,36
452,TCGA-GM-A2DF-01Z,Lymphocytes,Medium,137
453,TCGA-GM-A2DF-01Z,Miscelleneous,High,18
454,TCGA-GM-A2DF-01Z,Miscelleneous,Low,24
455,TCGA-GM-A2DF-01Z,Miscelleneous,Medium,22
456,TCGA-GM-A2DF-01Z,Stroma,High,227
457,TCGA-GM-A2DF-01Z,Stroma,Low,424
458,TCGA-GM-A2DF-01Z,Stroma,Medium,337
